media_name,media_url,stories_id,title,url
Washington Post,http://washingtonpost.com,2445555708,"'Africa on its own': Little help in epidemics, says official",https://www.washingtonpost.com/world/africa-on-its-own-little-help-in-epidemics-says-official/2022/10/12/67431e08-4a14-11ed-8153-96ee97b218d2_story.html?utm_source=rss&utm_medium=referral&utm_campaign=wp_world
Benzinga,http://www.benzinga.com,2445563783,Why Laser Photonics Shares Jumped By Around 44%; Here Are 72 Biggest Movers From Yesterday,https://www.benzinga.com/news/22/10/29229887/why-laser-photonics-shares-jumped-by-around-44-here-are-72-biggest-movers-from-yesterday
San Diego Union Tribune,http://sandiegouniontribune.com/,2445593566,"'Africa on its own': Little help in epidemics, says official",https://www.sandiegouniontribune.com/news/nation-world/story/2022-10-12/africa-on-its-own-little-help-in-epidemics-says-official
Seattle Times,http://seattletimes.com,2445593916,"‘Africa on its own’: Little help in epidemics, says official",https://www.seattletimes.com/seattle-news/health/africa-on-its-own-little-help-in-epidemics-says-official/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all
ABC News,http://abcnews.go.com/,2445602664,"'Africa on its own': Little help in epidemics, says official",https://abcnews.go.com/Health/wireStory/africa-epidemics-official-91373680
mlive.com,http://mlive.com/,2445784104,Barry County and Metro Detroit make up Michigan’s latest monkeypox cases,https://www.mlive.com/public-interest/2022/10/barry-county-and-metro-detroit-make-up-michigans-latest-monkeypox-cases.html
Hoy Chicago,http://www.chicagotribune.com/hoy/,2445834639,"Daywatch: Chicago, pack your bags",https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-101222-20221012-hff4e3d5zfhu5nbxumpsuom2ry-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Chicago Tribune,http://www.chicagotribune.com/,2445839833,"Daywatch: Chicago, pack your bags",https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-101222-20221012-hff4e3d5zfhu5nbxumpsuom2ry-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Hoy Chicago,http://www.chicagotribune.com/hoy/,2446085832,"Afternoon Briefing: Rain, wind ... could snow be next?",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-12-20221012-at3qssatn5ekzfoqbofrvs23mi-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Chicago Tribune,http://www.chicagotribune.com/,2446089574,"Afternoon Briefing: Rain, wind ... could snow be next?",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-12-20221012-at3qssatn5ekzfoqbofrvs23mi-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Politico,https://www.politico.com/,2446094444,Biden’s health care inflation problem,https://www.politico.com/newsletters/politico-pulse/2022/10/12/bidens-health-care-inflation-problem-00061328
Orange County Register,http://www.ocregister.com/,2446226674,You’re feeling cruddy. Is it flu? COVID? Here’s why it matters,https://www.ocregister.com/2022/10/12/seasonal-patterns-are-emerging-with-covid-but-flu-season-is-already-on-its-way/
Washington Post,http://washingtonpost.com,2446411093,Fighting Ebola in the age of covid,https://www.washingtonpost.com/world/2022/10/13/ebola-outbreak-uganda-covid-lessons/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world
UPI,http://www.upi.com/,2446497727,"Cholera protection gaps in U.S.: No new vaccine supply, no national stockpile",https://www.upi.com/Health_News/2022/10/13/cholera-vaccine-shortage-vaxchora/5351664821394/
Arkansas Democrat-Gazette ,http://www2.arkansasonline.com/,2446583546,Health expert says Africa ‘on its own’ during pandemics,https://www.arkansasonline.com/news/2022/oct/13/health-expert-says-africa-on-its-own-during/
Star Tribune ,http://www.startribune.com/,2446707330,Why our passion for TV vampires will never die,https://www.startribune.com/neal-justin-why-our-passion-for-tv-vampires-will-never-die/600215305/
Washington Post,http://washingtonpost.com,2446758966,Here’s how Medicare will impact Social Security benefits,https://www.washingtonpost.com/politics/2022/10/13/heres-how-medicare-will-impact-social-security-benefits/
